"[word, tag]",Counts
"['Mexico', 'NNP']",1
"['<s>', 'She']",1
"['She', 'PRP']",1
"['was', 'VBD']",1
"['going', 'VBG']",1
"['bloom', 'VB']",1
"['only', 'JJ']",1
"['time', 'NN']",1
"['100', 'CD']",1
"['that', 'IN']",1
"['very', 'JJ']",1
"['night', 'NN']",1
"['<s>', 'His']",1
"['His', 'PRP$']",1
"['colorful', 'JJ']",1
"['account', 'NN']",1
"['what', 'WP']",1
"['happened', 'VBD']",1
"['promised', 'VBN']",1
"['blooming', 'NN']",1
"['did', 'VBD']",1
"[""n't"", 'RB']",1
"['occur', 'VB']",1
"['--', ':']",1
"['children', 'NNS']",1
"['cried', 'VBN']",1
"['grownups', 'VBZ']",1
"['cursed', 'VBN']",1
"['owner', 'NN']",1
"['swore', 'VBD']",1
"[""'ll"", 'MD']",1
"['never', 'RB']",1
"['trust', 'VB']",1
"['again', 'RB']",1
"[""''"", '--']",1
"['picked', 'VBN']",1
"['up', 'RP']",1
"['Associated', 'NNP']",1
"['Press', 'NNP']",1
"['carried', 'VBN']",1
"['newspapers', 'NNS']",1
"['country', 'NN']",1
"['decades', 'NNS']",1
"['since', 'IN']",1
"['that', 'DT']",1
"['failed', 'VBD']",1
"['he', 'PRP']",1
"['become', 'VBN']",1
"['television', 'NN']",1
"['news', 'NN']",1
"['icon', 'NN']",1
"['<s>', 'Later']",1
"['Later', 'RB']",1
"['Stoker', 'NNP']",1
"['they', 'PRP']",1
"['startled', 'VBN']",1
"['find', 'VB']",1
"['``', 'six']",1
"['six', 'CD']",1
"['inches', 'NNS']",1
"['left', 'NN']",1
"['we', 'PRP']",1
"['pointing', 'VBG']",1
"['green', 'JJ']",1
"['result', 'NN']",1
"[':', ':']",1
"['while', 'IN']",1
"['bulk', 'NN']",1
"['3,500', 'CD']",1
"['soldiers', 'NNS']",1
"['here', 'RB']",1
"['staying', 'VBG']",1
"['tents', 'NNS']",1
"['areas', 'NNS']",1
"['like', 'IN']",1
"['front', 'JJ']",1
"['yard', 'NN']",1
"['White', 'NNP']",1
"['House', 'NNP']",1
"['field', 'NN']",1
"['behind', 'IN']",1
"['sugar', 'NN']",1
"['beet', 'NN']",1
"['hundreds', 'NNS']",1
"['others', 'NNS']",1
"['have', 'VBP']",1
"['been', 'VBN']",1
"['forced', 'VBN']",1
"['take', 'VB']",1
"['shelter', 'NN']",1
"['unusual', 'JJ']",1
"['quarters', 'NNS']",1
"['<s>', 'There']",1
"['There', 'EX']",1
"['also', 'RB']",1
"['gift', 'NN']",1
"['shops', 'NNS']",1
"['<s>', 'Tosco']",1
"['Tosco', 'NNP']",1
"['deadlocked', 'VBN']",1
"['with', 'IN']",1
"['Oil', 'NN']",1
"['Chemical', 'NNP']",1
"['Atomic', 'NNP']",1
"['Workers', 'NNPS']",1
"['Union', 'NNP']",1
"['over', 'IN']",1
"['staffing', 'NN']",1
"['190,000-barrel-a-day', 'JJ']",1
"['``', 'People']",1
"['People', 'NNS']",1
"['fear', 'VBP']",1
"['effect', 'NN']",1
"['loss', 'NN']",1
"['could', 'MD']",1
"['have', 'VB']",1
"['on', 'IN']",1
"['market', 'NN']",1
"['broker', 'NN']",1
"['E.', 'NNP']",1
"['D.', 'NNP']",1
"['&', 'CC']",1
"['F.', 'NNP']",1
"['Man', 'NNP']",1
"['Futures', 'NNPS']",1
"['Inc.', 'NNP']",1
"['February', 'NNP']",1
"['crude', 'JJ']",1
"['oil', 'NN']",1
"['rose', 'VBD']",1
"['26', 'CD']",1
"['cents', 'NNS']",1
"['19.81', 'CD']",1
"['barrel', 'NN']",1
"['its', 'PRP$']",1
"['highest', 'JJS']",1
"['price', 'NN']",1
"['May', 'NNP']",1
"['22', 'CD']",1
"['<s>', 'Gasoline']",1
"['Gasoline', 'NNP']",1
"['heating', 'NN']",1
"['prices', 'NNS']",1
"['got', 'VBD']",1
"['boost', 'NN']",1
"['after', 'IN']",1
"['British', 'NNP']",1
"['Petroleum', 'NNP']",1
"['Plc', 'NNP']",1
"['it', 'PRP']",1
"['expects', 'VBZ']",1
"['shut', 'VB']",1
"['down', 'RP']",1
"['before', 'IN']",1
"['Feb.', 'NNP']",1
"['1', 'CD']",1
"['refinery', 'NN']",1
"['Marcus', 'NNP']",1
"['Hook', 'NNP']",1
"['Pennsylvania', 'NNP']",1
"[""'s"", 'VBZ']",1
"['selling', 'VBG']",1
"['Corp.', 'NNP']",1
"['<s>', 'Of']",1
"['Of', 'IN']",1
"['8,500', 'CD']",1
"['AT&T', 'NNP']",1
"['employees', 'NNS']",1
"['state', 'NN']",1
"['6,200', 'CD']",1
"['work', 'NN']",1
"['company', 'NN']",1
"['equipment', 'NN']",1
"['manufacturing', 'NN']",1
"['North', 'NNP']",1
"['Andover', 'NNP']",1
"['impact', 'NN']",1
"['likely', 'JJ']",1
"['``', 'negligible']",1
"['negligible', 'JJ']",1
"['Paul', 'NNP']",1
"['Karoff', 'NNP']",1
"['spokesman', 'NN']",1
"['<s>', 'Local']",1
"['Local', 'JJ']",1
"['union', 'NN']",1
"['officials', 'NNS']",1
"['however', 'RB']",1
"['milder', 'JJ']",1
"['words', 'NNS']",1
"['primarily', 'RB']",1
"['because', 'IN']",1
"['vast', 'JJ']",1
"['majority', 'NN']",1
"['New', 'NNP']",1
"['England', 'NNP']",1
"['employed', 'VBN']",1
"['Merrimack', 'NNP']",1
"['Valley', 'NNP']",1
"['Works', 'NNP']",1
"['makes', 'VBZ']",1
"['room-sized', 'JJ']",1
"['telecommunications', 'NNS']",1
"['transmit', 'VB']",1
"['phone', 'NN']",1
"['calls', 'NNS']",1
"['video', 'NN']",1
"['signals', 'NNS']",1
"['data', 'NNS']",1
"['employs', 'VBZ']",1
"['out', 'IN']",1
"['total', 'NN']",1
"['10,357', 'CD']",1
"['region', 'NN']",1
"['``', 'This']",1
"['This', 'DT']",1
"['working', 'VBG']",1
"['seven', 'CD']",1
"['days', 'NNS']",1
"['week', 'NN']",1
"['70', 'CD']",1
"['percent', 'NN']",1
"['overtime', 'RB']",1
"['<s>', 'Between']",1
"['Between', 'IN']",1
"['1993', 'CD']",1
"['1994', 'CD']",1
"['about', 'IN']",1
"['1,850', 'CD']",1
"['laid', 'VBN']",1
"['off', 'RP']",1
"['<s>', '-LRB-']",1
"['-LRB-', '-LRB-']",1
"['-LRB-', 'Manila']",1
"['Manila', 'NNP']",1
"['Times', 'NNP']",1
"['1/03', 'NNP']",1
"['11', 'NNP']",1
"['-RRB-', '-RRB-']",1
"['-RRB-', 'First']",1
"['First', 'NNP']",1
"['Philippine', 'NNP']",1
"['Holdings', 'NNP']",1
"['Studying', 'NNP']",1
"['Laos', 'NNP']",1
"['Power', 'NNP']",1
"['Project', 'NNP']",1
"['Private', 'NNP']",1
"['Lopez', 'NNP']",1
"['family', 'NN']",1
"['holding', 'VBG']",1
"['negotiations', 'NNS']",1
"['investors', 'NNS']",1
"['build', 'VB']",1
"['1,000-megawatt', 'JJ']",1
"['hydroelectric', 'JJ']",1
"['Southeast', 'JJ']",1
"['Asian', 'JJ']",1
"['operates', 'VBZ']",1
"['215-megawatt', 'JJ']",1
"['diesel', 'NN']",1
"['Bauang', 'NNP']",1
"['La', 'NNP']",1
"['province', 'NN']",1
"['north', 'RB']",1
"['<s>', 'Much']",1
"['Much', 'JJ']",1
"['money', 'NN']",1
"['companies', 'NNS']",1
"['spent', 'VBN']",1
"['gone', 'VBN']",1
"['investment', 'NN']",1
"['Robert', 'NNP']",1
"['Barbera', 'NNP']",1
"['economist', 'NN']",1
"['Capital', 'NNP']",1
"['Investments', 'NNPS']",1
"['York', 'NNP']",1
"['advisory', 'NN']",1
"['<s>', 'According']",1
"['According', 'VBG']",1
"['charges', 'NNS']",1
"['oriented-strand-board', 'NN']",1
"['Montrose', 'NNP']",1
"['Colorado', 'NNP']",1
"['tampered', 'VBN']",1
"['pollution-monitoring', 'JJ']",1
"['test', 'NN']",1
"['results', 'NNS']",1
"['so', 'IN']",1
"['would', 'MD']",1
"['pass', 'VB']",1
"['inspection', 'NN']",1
"['1992', 'CD']",1
"['Kaohsiung', 'NNP']",1
"['still', 'RB']",1
"['needs', 'VBZ']",1
"['approval', 'NN']",1
"['authorities', 'NNS']",1
"['construction', 'NN']",1
"['can', 'MD']",1
"['begin', 'VB']",1
"['<s>', 'Madras']",1
"['Madras', 'NNP']",1
"['India', 'NNP']",1
"['Jan.', 'NNP']",1
"['3', 'CD']",1
"['-LRB-', 'Bloomberg']",1
"['Bloomberg', 'NNP']",1
"['-RRB-', '--']",1
"['Ford', 'NNP']",1
"['Motor', 'NNP']",1
"['Indian', 'JJ']",1
"['subsidiary', 'NN']",1
"['will', 'MD']",1
"['spent', 'VBD']",1
"['up', 'RB']",1
"['570', 'CD']",1
"['million', 'CD']",1
"['near', 'IN']",1
"['make', 'VB']",1
"['cars', 'NNS']",1
"['<s>', 'Construction']",1
"['Construction', 'NN']",1
"['this', 'DT']",1
"['should', 'MD']",1
"['completed', 'VBN']",1
"['1998', 'CD']",1
"['<s>', 'STORY']",1
"['STORY', 'NN']",1
"['FIRST', 'NN']",1
"['SENT', 'NNP']",1
"['-12-29-95', 'CD']",1
"['1948EST', 'CD']",1
"['SEATTLE', 'NN']",1
"['One', 'CD']",1
"['Asia', 'NNP']",1
"['largest', 'JJS']",1
"['semiconductor', 'NN']",1
"['manufacturers', 'NNS']",1
"['announce', 'VB']",1
"['next', 'JJ']",1
"['whether', 'IN']",1
"['computer', 'NN']",1
"['chip', 'NN']",1
"['southwest', 'JJS']",1
"['Washington', 'NNP']",1
"['eventually', 'RB']",1
"['grow', 'VB']",1
"['9', 'CD']",1
"['billion', 'CD']",1
"['complex', 'NN']",1
"['employing', 'VBG']",1
"['6,000', 'CD']",1
"['people', 'NNS']",1
"['<s>', 'If']",1
"['If', 'IN']",1
"['Taiwan', 'NNP']",1
"['Semiconductor', 'NNP']",1
"['decides', 'VBZ']",1
"['locate', 'VB']",1
"['second', 'JJ']",1
"['past', 'JJ']",1
"['few', 'JJ']",1
"['months', 'NNS']",1
"['leading', 'JJ']",1
"['maker', 'NN']",1
"['major', 'JJ']",1
"['September', 'NNP']",1
"['Intel', 'NNP']",1
"['announced', 'VBD']",1
"['3.5', 'CD']",1
"['<s>', 'As']",1
"['As', 'IN']",1
"['landed', 'VBD']",1
"['DuPont', 'NNP']",1
"['expansion', 'NN']",1
"['Mashusita', 'NNP']",1
"['Puyallup', 'NN']",1
"['initial', 'JJ']",1
"['U.S.', 'NNP']",1
"['worth', 'IN']",1
"['1.2', 'CD']",1
"['1.5', 'CD']",1
"['about', 'RB']",1
"['1,000', 'CD']",1
"['capable', 'JJ']",1
"['producing', 'VBG']",1
"['30,000', 'CD']",1
"['eight-inch-diameter', 'JJ']",1
"['wafers', 'NNS']",1
"['Norris', 'NNP']",1
"['invest', 'VB']",1
"['30', 'CD']",1
"['yen', 'NNS']",1
"['-LRB-', '$']",1
"['$', '291.77']",1
"['291.77', 'CD']",1
"['-RRB-', 'in']",1
"['test', 'VB']",1
"['12-inch', 'JJ']",1
"['wafer', 'NN']",1
"['technology', 'NN']",1
"['first', 'JJ']",1
"['joint', 'JJ']",1
"['development', 'NN']",1
"['20', 'CD']",1
"['<s>', 'Signs']",1
"['Signs', 'NNS']",1
"['economic', 'JJ']",1
"['growth', 'NN']",1
"['slip', 'VB']",1
"['1.9', 'CD']",1
"['third', 'JJ']",1
"['quarter', 'NN']",1
"['1995', 'CD']",1
"['came', 'VBD']",1
"['two', 'CD']",1
"['reports', 'NNS']",1
"['showed', 'VBD']",1
"['industrial', 'JJ']",1
"['output', 'NN']",1
"['fell', 'VBD']",1
"['annual', 'JJ']",1
"['3.7', 'CD']",1
"['orders', 'NNS']",1
"['machinery', 'NN']",1
"['slumped', 'VBD']",1
"['yearly', 'JJ']",1
"['8', 'CD']",1
"['November', 'NNP']",1
"['<s>', 'Or']",1
"['Or', 'CC']",1
"['Robotics', 'NNP']",1
"['Skokie', 'NN']",1
"['Illinois', 'NNP']",1
"['communications', 'NNS']",1
"['plans', 'VBZ']",1
"['double', 'VB']",1
"['workforce', 'NN']",1
"['4,000', 'CD']",1
"['open', 'VB']",1
"['another', 'DT']",1
"['look', 'NN']",1
"['<s>', 'Three']",1
"['Three', 'CD']",1
"['specimens', 'NNS']",1
"['each', 'DT']",1
"['all', 'DT']",1
"['landscape', 'NN']",1
"['size', 'NN']",1
"['mid-Atlantic', 'JJ']",1
"['evaluated', 'VBN']",1
"['committee', 'NN']",1
"['professionals', 'NNS']",1
"['then', 'RB']",1
"['choose', 'VBP']",1
"['winners', 'NNS']",1
"['<s>', 'Merlo']",1
"['Merlo', 'NNP']",1
"['resign', 'VB']",1
"['July', 'NNP']",1
"['indicted', 'VBN']",1
"['fraud', 'NN']",1
"['environmental', 'JJ']",1
"['violations', 'NNS']",1
"['federal', 'JJ']",1
"['allege', 'VBP']",1
"['OSB', 'NNP']",1
"['<s>', 'They']",1
"['They', 'PRP']",1
"['lived', 'VBD']",1
"['studio', 'NN']",1
"['garage', 'NN']",1
"['up', 'IN']",1
"['street', 'NN']",1
"['together', 'RB']",1
"['killed', 'VBN']",1
"['occasional', 'JJ']",1
"['house', 'NN']",1
"['Ms.', 'NNP']",1
"['Arbeiter', 'NNP']",1
"['painted', 'VBN']",1
"['10', 'CD']",1
"['<s>', 'Others']",1
"['Others', 'NNS']",1
"['called', 'VBD']",1
"['radical', 'JJ']",1
"['change', 'NN']",1
"['rip', 'NN']",1
"['hedges', 'NNS']",1
"['wildflowers', 'NNS']",1
"['front', 'NN']",1
"['addition', 'NN']",1
"['Micron', 'NNP']",1
"['Technology', 'NNP']",1
"['Thursday', 'NNP']",1
"['slowed', 'VBN']",1
"['pace', 'NN']",1
"['1.3', 'CD']",1
"['memory', 'NN']",1
"['Lehi', 'NNP']",1
"['Utah', 'NNP']",1
"['<s>', 'Also']",1
"['Also', 'RB']",1
"['Schneider', 'NNP']",1
"['complete', 'VB']",1
"['year', 'NN']",1
"['C$', '$']",1
"['hog', 'NN']",1
"['Winnipeg', 'NNP']",1
"['Manitoba', 'NNP']",1
"['overcome', 'VB']",1
"['supply', 'NN']",1
"['problems', 'NNS']",1
"['Ontario', 'NNP']",1
"['<s>', 'Its']",1
"['Its', 'PRP$']",1
"['earnings', 'NNS']",1
"['crimped', 'VBN']",1
"['delays', 'NNS']",1
"['transferring', 'VBG']",1
"['operations', 'NNS']",1
"['Toronto', 'NNP']",1
"['upgraded', 'VBN']",1
"['Burlington', 'NNP']",1
"['decision', 'NN']",1
"['reorganize', 'VB']",1
"['grocery', 'NN']",1
"['division', 'NN']",1
"['sell', 'VB']",1
"['real', 'JJ']",1
"['estate', 'NN']",1
"['seafood', 'NN']",1
"['businesses', 'NNS']",1
"['analysts', 'NNS']",1
"['<s>', 'Unlike']",1
"['Unlike', 'IN']",1
"['earlier', 'JJR']",1
"['legislation', 'NN']",1
"['Clean', 'NNP']",1
"['Air', 'NNP']",1
"['Act', 'NNP']",1
"['1990', 'CD']",1
"['applies', 'VBZ']",1
"['corporate', 'JJ']",1
"['emissions', 'NNS']",1
"['average', 'VBP']",1
"['utility', 'NN']",1
"['exceed', 'VB']",1
"['limit', 'NN']",1
"['one', 'CD']",1
"['running', 'VBG']",1
"['very', 'RB']",1
"['clean', 'JJ']",1
"['operation', 'NN']",1
"['<s>', 'But']",1
"['But', 'CC']",1
"['among', 'IN']",1
"['producers', 'NNS']",1
"['Romo', 'NNP']",1
"['success', 'NN']",1
"['brought', 'VBD']",1
"['debate', 'NN']",1
"['thorny', 'JJ']",1
"['cactus-like', 'JJ']",1
"['drink', 'NN']",1
"['made', 'VBN']",1
"['means', 'VBZ']",1
"['portion', 'NN']",1
"['V-22', 'NN']",1
"['produced', 'VBN']",1
"['Boeing', 'NNP']",1
"['Ridley', 'NNP']",1
"['Township', 'NNP']",1
"['Pa.', 'NNP']",1
"['transported', 'VBN']",1
"['Bell', 'NNP']",1
"['facilities', 'NNS']",1
"['Arlington', 'NNP']",1
"['Municipal', 'NNP']",1
"['Airport', 'NNP']",1
"['adjacent', 'JJ']",1
"['Fort', 'NNP']",1
"['Worth', 'NNP']",1
"['joined', 'VBD']",1
"['plants', 'NNS']",1
"['around', 'IN']",1
"['Texas', 'NNP']",1
"['Chinese', 'JJ']",1
"['government', 'NN']",1
"['chose', 'VBD']",1
"['GM', 'NNP']",1
"['partner', 'NN']",1
"['auto-making', 'NN']",1
"['built', 'VBN']",1
"['Shanghai', 'NNP']",1
"['<s>', 'And']",1
"['And', 'CC']",1
"['currently', 'RB']",1
"['small', 'JJ']",1
"['Cat', 'NNP']",1
"['Lai', 'NNP']",1
"['Ho', 'NNP']",1
"['Chi', 'NNP']",1
"['Minh', 'NNP']",1
"['City', 'NNP']",1
"['according', 'VBG']",1
"['Knott', 'NNP']",1
"['Associates', 'NNPS']",1
"[""'"", 'POS']",1
"['Vietnam', 'NNP']",1
"['Oil', 'NNP']",1
"['Gas', 'NNP']",1
"['Update', 'NNP']",1
"['<s>', 'At']",1
"['At', 'IN']",1
"['Tequila', 'NNP']",1
"['Herradura', 'NNP']",1
"['Jalisco', 'NNP']",1
"['worker', 'NN']",1
"['checks', 'VBZ']",1
"['sample', 'NN']",1
"['distilled', 'JJ']",1
"['tequila', 'NN']",1
"['Hyundai', 'NNP']",1
"['Group', 'NNP']",1
"['chairman', 'NN']",1
"['elaborate', 'VB']",1
"['his', 'PRP$']",1
"['plan', 'NN']",1
"['blast-furnace', 'JJ']",1
"['steel', 'NN']",1
"['but', 'CC']",1
"['previously', 'RB']",1
"['said', 'VBN']",1
"['churn', 'VB']",1
"['tons', 'NNS']",1
"['products', 'NNS']",1
"['most', 'JJS']",1
"['consumed', 'VBN']",1
"['auto', 'NN']",1
"['shipbuilding', 'NN']",1
"['units', 'NNS']",1
"['<s>', 'Trade']",1
"['Trade', 'NNP']",1
"['Industry', 'NNP']",1
"['Energy', 'NNP']",1
"['Minister', 'NNP']",1
"['Park', 'NNP']",1
"['Jae', 'NNP']",1
"['Yun', 'NNP']",1
"['told', 'VBD']",1
"['newspaper', 'NN']",1
"['last', 'JJ']",1
"['thought', 'VBD']",1
"['such', 'PDT']",1
"['``', 'desirable']",1
"['desirable', 'JJ']",1
"[""''"", 'given']",1
"['given', 'VBN']",1
"['long-term', 'JJ']",1
"['demand', 'NN']",1
"['outlook', 'NN']",1
"['<s>', 'Experts']",1
"['Experts', 'NNS']",1
"['South', 'NNP']",1
"['give', 'VB']",1
"['him', 'PRP']",1
"['credit', 'NN']",1
"['helping', 'VBG']",1
"['lure', 'VB']",1
"['General', 'NNP']",1
"['Motors', 'NNPS']",1
"['Saturn', 'NNP']",1
"['Nissan', 'NNP']",1
"['automotive', 'JJ']",1
"['Tennessee', 'NNP']",1
"['Daewoo', 'NNP']",1
"['invested', 'VBD']",1
"['consumer', 'NN']",1
"['electronics', 'NNS']",1
"['Luis', 'NNP']",1
"['Rio', 'NNP']",1
"['Sonora', 'NNP']",1
"['plans', 'NNS']",1
"['building', 'VBG']",1
"['microwave', 'NN']",1
"['oven', 'JJ']",1
"['assembly', 'NN']",1
"['same', 'JJ']",1
"['area', 'NN']",1
"['end', 'NN']",1
"['1996', 'CD']",1
"['<s>', 'Rioclaro']",1
"['Rioclaro', 'NNP']",1
"['spend', 'VB']",1
"['expand', 'VB']",1
"['cement', 'NN']",1
"['grinding', 'VBG']",1
"['capacity', 'NN']",1
"['<s>', 'With']",1
"['With', 'IN']",1
"['single', 'JJ']",1
"['Cemento', 'NNP']",1
"['Argos', 'NNPS']",1
"['SA', 'NNP']",1
"['controls', 'VBZ']",1
"['more', 'JJR']",1
"['50', 'CD']",1
"['Colombia', 'NNP']",1
"['<s>', 'Amid']",1
"['Amid', 'IN']",1
"['growing', 'VBG']",1
"['number', 'NN']",1
"['made-in-America', 'JJ']",1
"['bearing', 'VBG']",1
"['foreign', 'JJ']",1
"['names', 'NNS']",1
"['enough', 'JJ']",1
"['sport-utility', 'NN']",1
"['vehicles', 'NNS']",1
"['cause', 'VB']",1
"['gridlock', 'NN']",1
"['mountain', 'NN']",1
"['trail', 'NN']",1
"['Mercedes-Benz', 'NNP']",1
"['served', 'VBD']",1
"['notice', 'NN']",1
"['participate', 'VB']",1
"['both', 'DT']",1
"['trends', 'NNS']",1
"['showing', 'VBG']",1
"['thinly', 'RB']",1
"['veiled', 'VBN']",1
"['prototype', 'NN']",1
"['``', 'all']",1
"['activity', 'NN']",1
"['vehicle', 'NN']",1
"[""''"", 'to']",1
"['assembled', 'VBN']",1
"['Tuscaloosa', 'NNP']",1
"['Ala', 'NNP']",1
"['fuel', 'NN']",1
"['chopped', 'VBN']",1
"['immersed', 'VBN']",1
"['liquid', 'JJ']",1
"['dissolver', 'NN']",1
"['compound', 'NN']",1
"['shutdown', 'NN']",1
"['<s>', 'Another']",1
"['Another', 'DT']",1
"['senior', 'JJ']",1
"['department', 'NN']",1
"['official', 'NN']",1
"['Thomas', 'NNP']",1
"['P.', 'NNP']",1
"['Grumbly', 'NNP']",1
"['assistant', 'NN']",1
"['secretary', 'NN']",1
"['management', 'NN']",1
"['living', 'VBG']",1
"['Savannah', 'NNP']",1
"['River', 'NNP']",1
"['might', 'MD']",1
"['welcome', 'VB']",1
"['created', 'VBN']",1
"['reprocessing', 'VBG']",1
"['removal', 'NN']",1
"['sales', 'NNS']",1
"['tax', 'NN']",1
"['late', 'JJ']",1
"['won', 'VBD']",1
"['250', 'CD']",1
"['research', 'NN']",1
"['facility', 'NN']",1
"['221', 'CD']",1
"['rolling', 'NN']",1
"['mill', 'NN']",1
"['600', 'CD']",1
"['710', 'CD']",1
"['silicon', 'NN']",1
"['EV1', 'NN']",1
"['Craft', 'NN']",1
"['Centre', 'NNP']",1
"['Lansing', 'NNP']",1
"['Mich', 'NNP']",1
"['<s>', 'It']",1
"['It', 'PRP']",1
"['beginning', 'VBG']",1
"['1997', 'CD']",1
"['Shreveport', 'NNP']",1
"['<s>', 'Five']",1
"['Five', 'CD']",1
"['citations', 'NNS']",1
"['against', 'IN']",1
"['TRW', 'NNP']",1
"['Vehicle', 'NNP']",1
"['Safety', 'NNP']",1
"['Systems', 'NNPS']",1
"['issued', 'VBN']",1
"['six-month', 'JJ']",1
"['review', 'NN']",1
"['safety', 'NN']",1
