"[tag, prev_tag]",Counts
"['WP', 'VBP']",20
"['VBN', 'RB']",34
"['DT', 'RBS']",17
"['RBS', 'JJ']",23
"['CC', 'WDT']",3
"['JJ', '.']",45
"['<s>', 'TO']",9
"['VBZ', 'NNS']",36
"['DT', 'PRP']",4
"['WRB', 'PRP$']",3
"['VBP', 'JJ']",42
"['NNP', 'JJS']",6
"['VB', 'NNS']",70
"['JJS', '.']",2
"['CC', 'PRP']",56
"['WRB', 'TO']",9
"['PRP', '.']",28
"['PRP$', 'CD']",16
"['NNS', 'CD']",13
"['RP', '$']",2
"['CD', 'RB']",15
"['CC', 'VBP']",17
"['.', 'JJ']",1
"['TO', 'WDT']",1
"['WDT', '.']",2
"['VBZ', 'PRP']",29
"['IN', 'CC']",7
"['WDT', 'VBP']",38
"['RB', 'JJR']",20
"['JJR', 'NNS']",36
"['NNPS', 'DT']",3
"['CD', 'POS']",2
"['RBR', 'NN']",2
"['VBG', 'WDT']",3
"['WDT', 'NNS']",8
"['VBP', 'PRP$']",9
"['DT', 'JJR']",36
"['NNS', 'WRB']",21
"['CC', 'PRP$']",27
"['<s>', 'VBD']",1
"['NNS', ':']",29
"[':', 'MD']",1
"['POS', 'CD']",16
"['JJ', ':']",10
"['<s>', 'JJS']",5
"['NNPS', 'VBD']",13
"['IN', 'VBN']",23
"['RP', 'VBD']",6
"['PRP$', 'VBG']",6
"['CD', 'VBG']",17
"['DT', 'VBD']",16
"['WDT', 'NNP']",8
"['VBP', 'TO']",29
"['RB', 'MD']",17
"['RB', '$']",2
"['JJ', 'VBG']",21
"['RP', 'NN']",12
"['VB', 'VB']",17
"['<s>', 'VB']",4
"['PRP', 'JJ']",5
"['CD', 'VB']",5
"['VBZ', '$']",3
"['.', 'NNP']",19
"[':', 'VBP']",1
"['VBP', 'PRP']",18
"['PRP', 'TO']",30
"['NNP', 'WP$']",7
"['WP$', 'NNS']",13
"['VBZ', 'RBR']",9
"['NN', 'WP$']",8
"['WP$', 'NN']",4
"['DT', 'PRP$']",2
"['RP', '.']",6
"[':', 'PRP']",8
"['VBP', 'VB']",2
"['VBZ', 'VB']",3
"['MD', ':']",1
"[':', 'CC']",20
"['VBZ', ':']",1
"[':', 'VBN']",3
"['RB', 'WRB']",9
"['DT', 'NNPS']",16
"['NNPS', ':']",2
"['CD', 'JJR']",20
"['CC', 'TO']",6
"['RP', 'CD']",14
"['VBZ', 'WRB']",8
"['NNS', 'PRP$']",4
"['VBG', ':']",4
"[':', 'RB']",11
"['RP', 'PRP$']",15
"['PRP', 'PRP$']",5
"['PRP$', 'MD']",1
"['VBD', 'VB']",6
"['RP', 'NNP']",4
"['NNPS', 'CC']",11
"['JJS', 'CD']",4
"['VBD', 'CC']",21
"[':', 'VBG']",3
"['VBG', 'VBZ']",6
"['<s>', ':']",13
"['RP', 'VBG']",2
"[':', 'JJ']",15
"['NN', 'WP']",23
"['NNPS', 'MD']",2
"['NNPS', 'VB']",1
"['POS', 'VBG']",3
"['VBN', 'PRP$']",9
"['CC', 'JJS']",2
"['PRP', 'VB']",5
"['TO', 'JJ']",37
"['IN', 'VBP']",1
"['VBP', 'NN']",18
"['WP$', 'JJ']",4
"['CD', 'VBP']",3
"['VBP', 'EX']",3
"['DT', 'DT']",2
"['DT', 'CC']",1
"['WRB', 'JJ']",26
"['VBZ', '.']",15
"['NNS', 'EX']",3
"['EX', 'NNS']",1
"['PRP', 'NNP']",1
"['NNP', 'PRP$']",10
"['.', 'WRB']",1
"['CD', 'PRP']",10
"['CD', '$']",5
"['VB', 'VBZ']",2
"['NNP', 'VB']",1
"['.', ':']",5
"['DT', ':']",5
"['PRP$', 'RB']",1
"['NNS', 'POS']",21
"['IN', 'VBZ']",8
"['VBD', 'RBR']",13
"['NNPS', 'NN']",12
"['NNS', 'NNPS']",2
"['NNPS', 'NNPS']",1
"['VB', 'RBR']",6
"['RBR', 'DT']",20
"['VBN', 'RBR']",9
"['VBP', 'CC']",10
"['VBP', 'VBD']",5
"['CD', 'JJS']",1
"['JJS', 'NNS']",6
"['VBD', 'VBD']",8
"['POS', 'IN']",6
"['NNP', 'EX']",3
"['EX', 'VBZ']",14
"['IN', '.']",7
"['WP', 'RBS']",1
"['RBS', 'RB']",5
"['NNS', 'WP$']",3
"['MD', 'CC']",2
"['PRP', 'PRP']",1
"['NNS', 'JJR']",10
"['NN', 'RBR']",11
"['RBR', '.']",1
"['JJS', 'VBG']",7
"['TO', 'NNS']",19
"['VBN', '$']",14
"['TO', 'VBD']",2
"['WDT', 'CD']",2
"['NN', 'JJS']",2
"['NNPS', 'VBG']",1
"['NNPS', 'WP']",1
"[':', 'VBZ']",4
"['RB', 'CC']",19
"['VB', 'VBD']",3
"['<s>', 'WDT']",3
"['RBR', 'VBN']",1
"[':', 'PRP$']",2
"['JJ', 'VBZ']",5
"['VBP', 'MD']",1
"['CD', 'MD']",6
"['NNPS', '.']",6
"['.', 'PRP']",5
"['RB', 'JJS']",5
"['PRP', 'RP']",2
"['JJ', 'PRP']",8
"['WP', 'NNP']",1
"['VBP', 'NNS']",22
"['VBN', 'JJR']",1
"['MD', 'VBN']",1
"['WP', 'VBN']",1
"['WDT', 'PRP']",6
"['PRP', ':']",1
"['IN', 'WP$']",3
"['JJ', 'JJS']",3
"['MD', 'DT']",4
"['<s>', 'WP']",9
"['WP', 'MD']",5
"['CD', 'VBN']",3
"['<s>', 'JJR']",8
"['RBR', 'RB']",8
"['POS', 'RB']",1
"['VBZ', 'WP']",3
"['WP', 'NN']",2
"['CC', 'EX']",1
"['VBD', ':']",7
"['VBN', 'VB']",3
"['PRP$', 'RBS']",2
"['VBG', 'VBG']",7
"['VBG', 'JJR']",2
"['VBZ', 'MD']",1
"['RP', 'PDT']",5
"['PDT', 'PRP$']",2
"['VBD', 'MD']",4
"['NNPS', 'IN']",7
"['VBP', 'VBZ']",5
"['JJR', 'CC']",7
"['CC', 'RBR']",7
"['TO', 'RBR']",5
"['RBR', 'VB']",5
"['MD', 'RBS']",1
"['JJ', 'VBP']",1
"[':', 'NNPS']",2
"['MD', 'RBR']",1
"['IN', 'VB']",1
"['WDT', 'NN']",5
"['TO', 'JJR']",2
"['NNS', 'VB']",5
"[':', '$']",2
"[':', 'JJR']",2
"['VBP', 'RBR']",1
"['VBP', 'JJR']",5
"['NN', '$']",3
"['MD', 'IN']",4
"['CC', 'WP']",4
"['NNP', '$']",2
"['CD', 'WRB']",12
"['NNPS', 'VBZ']",4
"['JJR', 'JJ']",9
"['NNP', '</s>']",2
"['.', 'NN']",1
"['RB', 'PRP$']",3
"['NNPS', 'NNS']",6
"['RP', 'JJ']",4
"['VBD', 'PDT']",1
"['VBG', 'WRB']",4
"['PRP', 'VBG']",3
"['DT', 'RBR']",9
"['VBN', 'PDT']",1
"['WRB', 'JJS']",1
"['IN', 'VBD']",2
"['WP', 'NNS']",8
"['WDT', 'VBN']",1
"['JJ', 'DT']",11
"['<s>', 'PDT']",1
"['NNPS', 'RB']",2
"['.', 'IN']",2
"['VBN', ':']",8
"['JJS', 'RBS']",1
"['.', 'VBD']",1
"['VBN', 'JJS']",1
"['VBP', 'RP']",7
"['VBG', 'JJS']",1
"['WP', 'VBG']",1
"['VBD', 'NNPS']",1
"['WP', 'JJ']",2
"['NN', 'NNPS']",1
"['CC', 'NNPS']",1
"['MD', 'PRP']",1
"['WP', 'CC']",4
"['NNPS', 'TO']",4
"['$', 'JJ']",6
"['DT', 'WDT']",1
"['WRB', 'VBN']",4
"['VBN', 'WP']",1
"['PRP', 'CC']",7
"['IN', 'EX']",11
"['EX', 'VBD']",13
"['RP', 'JJR']",1
"['VBG', 'WP']",3
"['WDT', 'JJ']",1
"['VB', 'WDT']",1
"['<s>', 'RBS']",5
"['WRB', 'IN']",5
"[':', 'WRB']",2
"['VBP', 'WP']",2
"['.', 'DT']",6
"['VBD', 'VBP']",2
"['PRP', 'NNS']",5
"['JJ', 'WRB']",2
"['<s>', 'RBR']",7
"['RB', 'EX']",4
"['.', 'VBZ']",2
"[':', '.']",1
"['JJ', 'PRP$']",2
"['RBR', 'NNP']",1
"['TO', 'WRB']",2
"['<s>', 'VBZ']",6
"['DT', 'WP']",2
"['RB', 'WP']",1
"['JJS', 'VBN']",1
"['IN', 'NNPS']",7
"['VBZ', 'VBZ']",1
"['WDT', 'IN']",2
"['NNP', 'RBR']",3
"['IN', ':']",1
"['JJS', 'DT']",2
"['NNS', 'JJS']",7
"['VBG', 'PDT']",1
"['PRP', 'JJR']",5
"['WRB', 'VBG']",1
"['VBD', 'EX']",3
"['EX', 'MD']",4
"['VBN', 'MD']",2
"['NNPS', 'WDT']",1
"['CC', 'JJR']",8
"['MD', 'JJ']",2
"['.', 'TO']",1
"['IN', 'TO']",1
"['POS', ':']",1
"['RB', 'WDT']",2
"['MD', 'TO']",2
"['NNPS', 'VBP']",4
"['PRP', 'WRB']",1
"[':', 'WP']",1
"['TO', 'IN']",1
"['POS', 'NNPS']",1
"['<s>', 'POS']",1
"['POS', 'POS']",1
"['POS', 'PRP']",1
"['JJR', '.']",1
"['JJR', 'VBN']",1
"['<s>', 'VBP']",1
"['POS', 'CC']",1
"['JJR', 'NNP']",1
"['POS', 'RBS']",1
"['NN', 'EX']",5
"['VBZ', 'JJS']",1
"['CD', 'NNPS']",1
"['PRP', 'VBN']",1
"['JJS', '$']",1
"['WDT', 'TO']",1
"['JJ', 'WP']",1
"['TO', 'PRP']",1
"['DT', 'VBP']",11
"['NNPS', 'WRB']",1
"['VB', 'WP']",1
"['JJR', 'PRP']",5
"['POS', '.']",1
"['VBZ', 'EX']",1
"['JJ', 'JJR']",1
"['JJR', 'VBG']",2
"['POS', 'JJR']",1
"['VBZ', 'CC']",2
"['JJS', 'PRP']",8
"['VBP', 'VBP']",1
"['JJ', 'MD']",4
"['VBG', 'RBR']",4
"['RBR', 'CC']",2
"['JJR', 'RBR']",3
"['PRP$', '$']",1
"[':', 'VB']",1
"['PRP', 'CD']",1
"['VBZ', 'VBP']",4
"['<s>', '</s>']",1
